# merged XS for 10B(alpha,n)13N merged MT50-MT54+MT91
# columns: projectile_energy_MeV  sigma_mb
1.005548000e+00  1.649836500e-04
1.500000000e+00  3.545850000e+00
2.000000000e+00  3.430200000e-01
2.435623000e+00  6.876976682e-01
2.500000000e+00  6.128735000e-01
3.000000000e+00  1.178132000e+01
3.015425000e+00  1.114014908e+01
3.500000000e+00  9.831971408e+00
4.000000000e+00  1.687700000e+01
4.500000000e+00  1.924050000e+01
5.000000000e+00  1.948320000e+01
5.021061000e+00  2.003082812e+01
5.500000000e+00  2.535265000e+01
6.000000000e+00  2.529940000e+01
6.500000000e+00  2.517305000e+01
6.682374000e+00  2.535497515e+01
7.000000000e+00  2.582000000e+01
7.153108000e+00  2.566551405e+01
7.228134000e+00  2.557926251e+01
7.253469000e+00  2.554419895e+01
7.500000000e+00  2.517685000e+01
8.000000000e+00  2.406062000e+01
8.285780000e+00  2.312752657e+01
8.433313000e+00  2.256709610e+01
8.500000000e+00  2.243305518e+01
8.579166000e+00  2.188976204e+01
9.000000000e+00  2.152941000e+01
9.182455000e+00  2.018475627e+01
9.500000000e+00  2.120506000e+01
9.623234000e+00  1.999912507e+01
9.803801000e+00  2.004901737e+01
1.000000000e+01  2.130064000e+01
1.039729000e+01  1.931365164e+01
1.045608000e+01  1.915109086e+01
1.046868000e+01  1.911582094e+01
1.050000000e+01  2.092240000e+01
1.058192000e+01  1.879883954e+01
1.073043000e+01  1.828458401e+01
1.084801000e+01  1.782403399e+01
1.093339000e+01  1.744480163e+01
1.100000000e+01  1.958934000e+01
1.114196000e+01  1.645413807e+01
1.129593000e+01  1.560703285e+01
1.150000000e+01  1.733321000e+01
1.200000000e+01  1.480009000e+01
1.214977000e+01  1.102918148e+01
1.250000000e+01  1.330325000e+01
1.300000000e+01  1.265016000e+01
1.350000000e+01  1.254660000e+01
1.400000000e+01  1.288007000e+01
1.450000000e+01  1.339444500e+01
1.500000000e+01  1.390014000e+01
