# E_MeV sigma_mb
4.876340000e+00 0.000000000e+00
5.000000000e+00 9.677747000e-01
6.000000000e+00 2.306203000e+00
7.000000000e+00 3.649004000e+00
8.000000000e+00 4.493643000e+00
9.000000000e+00 1.020935000e+01
1.000000000e+01 1.169251000e+01
1.100000000e+01 1.876497000e+01
1.200000000e+01 1.333313000e+02
1.300000000e+01 1.291282000e+02
1.400000000e+01 1.218111000e+02
1.500000000e+01 1.154302000e+02
1.600000000e+01 1.057040000e+02
1.700000000e+01 1.011547000e+02
1.800000000e+01 9.464137000e+01
1.900000000e+01 8.860779000e+01
2.000000000e+01 8.152827000e+01
2.200000000e+01 7.193602000e+01
2.400000000e+01 5.974797000e+01
2.600000000e+01 5.038976000e+01
2.800000000e+01 4.383596000e+01
3.000000000e+01 0.000000000e+00
2.000000000e+02 0.000000000e+00
