# E_MeV sigma_mb
1.250000000e-01 0.000000000e+00
2.500000000e-01 2.130809000e+01
5.000000000e-01 1.661450000e+02
1.000000000e+00 3.464499000e+02
2.000000000e+00 3.576795000e+02
3.000000000e+00 3.730508000e+02
4.000000000e+00 3.560783000e+02
5.000000000e+00 3.593543000e+02
6.000000000e+00 3.346665000e+02
7.000000000e+00 3.130080000e+02
8.000000000e+00 2.853321000e+02
9.000000000e+00 2.485408000e+02
1.000000000e+01 2.250100000e+02
1.100000000e+01 2.032992000e+02
1.200000000e+01 1.951455000e+02
1.300000000e+01 1.724545000e+02
1.400000000e+01 1.457493000e+02
1.500000000e+01 1.236090000e+02
1.600000000e+01 1.694730000e+02
1.700000000e+01 1.438793000e+02
1.800000000e+01 1.210995000e+02
1.900000000e+01 9.983438000e+01
2.000000000e+01 8.209163000e+01
2.200000000e+01 5.446037000e+01
2.400000000e+01 3.658565000e+01
2.600000000e+01 2.474072000e+01
2.800000000e+01 1.738885000e+01
3.000000000e+01 0.000000000e+00
2.000000000e+02 0.000000000e+00
