# merged XS for 14N(alpha,n)17F merged MT50-MT54+MT91
# columns: projectile_energy_MeV  sigma_mb
6.320020000e+00  9.722337670e+00
6.500000000e+00  1.140000000e+01
6.565345000e+00  1.691569520e+01
7.000000000e+00  3.760646663e+01
7.318267000e+00  5.608806640e+01
7.500000000e+00  6.634400000e+01
7.501897000e+00  6.636082010e+01
7.976693000e+00  4.893543190e+01
8.000000000e+00  4.898400000e+01
8.288727000e+00  7.007407220e+01
8.500000000e+00  8.571833330e+01
9.000000000e+00  8.973000000e+01
9.038306000e+00  9.352105500e+01
9.500000000e+00  9.461266660e+01
1.000000000e+01  5.883300000e+01
1.024414000e+01  6.516089303e+01
1.036642000e+01  6.366784360e+01
1.050000000e+01  6.600080000e+01
1.091676000e+01  8.339011360e+01
1.100000000e+01  7.635990000e+01
1.108135000e+01  5.375762696e+01
1.128451000e+01  8.897519310e+01
1.145295000e+01  7.795767550e+01
1.150000000e+01  7.420866664e+01
1.152625000e+01  7.236255830e+01
1.154682000e+01  7.102619400e+01
1.173841000e+01  6.181663684e+01
1.179402000e+01  7.863387200e+01
1.200000000e+01  6.884370000e+01
1.207144000e+01  7.203499959e+01
1.222703000e+01  5.108667821e+01
1.247648000e+01  5.379819394e+01
1.250000000e+01  4.932350003e+01
1.295996000e+01  3.939706622e+01
1.298824000e+01  3.979605463e+01
1.300000000e+01  4.187146666e+01
1.314897000e+01  4.419768870e+01
1.341386000e+01  4.254634256e+01
1.350000000e+01  5.263550000e+01
1.354501000e+01  5.304698126e+01
1.390247000e+01  5.017165220e+01
1.400000000e+01  7.234380002e+01
1.414421000e+01  5.896218677e+01
1.420850000e+01  6.099808503e+01
1.423422000e+01  6.164865720e+01
1.441424000e+01  6.322892996e+01
1.445281000e+01  6.293791653e+01
1.449139000e+01  6.247926736e+01
1.450000000e+01  9.470136666e+01
1.460326000e+01  6.044703650e+01
1.480449000e+01  5.573495780e+01
1.500000000e+01  8.721130000e+01
