# E_MeV sigma_mb
6.353267000e+00 0.000000000e+00
7.000000000e+00 1.162059000e+01
8.000000000e+00 1.874416000e+01
9.000000000e+00 2.024631000e+01
1.000000000e+01 1.865000000e+01
1.100000000e+01 1.500761000e+01
1.200000000e+01 9.982017000e+01
1.300000000e+01 1.050605000e+02
1.400000000e+01 1.117635000e+02
1.500000000e+01 1.098325000e+02
1.600000000e+01 1.043906000e+02
1.700000000e+01 9.912872000e+01
1.800000000e+01 9.392679000e+01
1.900000000e+01 8.888821000e+01
2.000000000e+01 8.343815000e+01
2.200000000e+01 7.396072000e+01
2.400000000e+01 6.613160000e+01
2.600000000e+01 5.991496000e+01
2.800000000e+01 5.434402000e+01
3.000000000e+01 0.000000000e+00
2.000000000e+02 0.000000000e+00
